         2232065 function calls (2223159 primitive calls) in 32.806 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      196    0.002    0.000    0.013    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:469(__new__)
     3827    0.007    0.000    0.013    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:265(__init__)
       82    0.000    0.000    0.013    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:1283(request)
       82    0.001    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:1288(_send_request)
      991    0.001    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:7072(ensure_index)
  445/434    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     5738    0.004    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:653(is_integer_dtype)
      164    0.000    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/email/feedparser.py:176(_call_parse)
       82    0.001    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:410(prepare_url)
     15/6    0.000    0.000    0.012    0.002 {built-in method builtins.__import__}
      164    0.002    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/email/feedparser.py:216(_parsegen)
     2157    0.002    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_asarray.py:112(<setcomp>)
     7071    0.005    0.000    0.012    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:5991(__setattr__)
       82    0.000    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/poolmanager.py:225(connection_from_host)
     3284    0.001    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:383(<setcomp>)
       82    0.000    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/poolmanager.py:248(connection_from_context)
    25017    0.005    0.000    0.011    0.000 <frozen abc>:117(__instancecheck__)
       80    0.001    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_default.py:79(load_credentials_from_file)
     3440    0.007    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:5931(__finalize__)
    43551    0.008    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
      202    0.001    0.000    0.011    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/adapters.py:135(__init__)
    11209    0.007    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexing.py:2609(check_dict_or_set_indexers)
     1187    0.000    0.000    0.010    0.000 {method 'join' of 'bytes' objects}
       74    0.001    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/delta_generator.py:475(_enqueue)
      132    0.000    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:887(content)
     6606    0.005    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:5159(__getitem__)
       20    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    24898    0.007    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:282(issubclass_)
       33    0.000    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/write.py:217(write)
      182    0.001    0.000    0.010    0.000 {built-in method builtins.sorted}
       40    0.000    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/series.py:521(_init_dict)
       33    0.000    0.000    0.010    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/write.py:354(flush_buffer)
       82    0.000    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/poolmanager.py:263(connection_from_pool_key)
       80    0.001    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/response.py:789(read_chunked)
       82    0.001    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/adapters.py:294(build_response)
    22004    0.008    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:1324(__init__)
55495/48131    0.007    0.000    0.009    0.000 {built-in method builtins.len}
      533    0.007    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
    80887    0.007    0.000    0.009    0.000 {built-in method builtins.issubclass}
     4162    0.001    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2267(<lambda>)
        2    0.000    0.000    0.009    0.004 /home/lucas/anaconda3/lib/python3.11/site-packages/PIL/Image.py:3174(open)
        1    0.000    0.000    0.009    0.009 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/image.py:190(_validate_image_format_string)
     3867    0.001    0.000    0.009    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/construction.py:396(extract_array)
